"date,home_team,away_team,winner,first_shooter"
"1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia"
"1979-05-22,Argentina,Netherlands,Argentina,Argentina"
"1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy"
"1982-07-08,Germany,France,Germany,France"
"1984-06-24,Denmark,Spain,Spain,Denmark"
"1986-06-21,Brazil,France,France,Brazil"
"1986-06-21,Mexico,Germany,Germany,Germany"
"1986-06-22,Spain,Belgium,Belgium,Spain"
"1988-03-31,Germany,Sweden,Sweden,Sweden"
"1988-12-18,South Korea,Saudi Arabia,Saudi Arabia,South Korea"
"1990-02-04,United States,Colombia,Colombia,Colombia"
"1990-02-20,Colombia,Russia,Colombia,Colombia"
"1990-06-25,Republic of Ireland,Romania,Republic of Ireland,Romania"
"1990-06-30,Yugoslavia,Argentina,Argentina,Argentina"
"1990-07-03,Italy,Argentina,Argentina,Italy"
"1990-07-04,Germany,England,Germany,England"
"1991-06-16,Italy,Russia,Italy,Russia"
"1991-07-07,United States,Honduras,United States,United States"
"1992-01-23,Cameroon,Ivory Coast,Ivory Coast,Ivory Coast"
"1992-01-26,Ghana,Ivory Coast,Ivory Coast,Ivory Coast"
"1992-06-22,Netherlands,Denmark,Denmark,Netherlands"
"1993-02-24,Argentina,Denmark,Argentina,Argentina"
"1993-06-26,Colombia,Uruguay,Colombia,Colombia"
"1993-06-27,Brazil,Argentina,Argentina,Brazil"
"1993-07-01,Colombia,Argentina,Argentina,Colombia"
"1993-08-15,Australia,Canada,Australia,Australia"
"1994-04-06,Nigeria,Ivory Coast,Nigeria,Nigeria"
"1994-07-05,Mexico,Bulgaria,Bulgaria,Mexico"
"1994-07-10,Romania,Sweden,Sweden,Sweden"
"1994-07-17,Brazil,Italy,Brazil,Italy"
"1995-01-10,Denmark,Mexico,Denmark,Denmark"
"1995-01-13,Mexico,Nigeria,Mexico,Nigeria"
"1995-07-16,Paraguay,Colombia,Colombia,Colombia"
"1995-07-17,United States,Mexico,United States,United States"
"1995-07-17,Brazil,Argentina,Brazil,Brazil"
"1995-07-23,Uruguay,Brazil,Uruguay,Uruguay"
"1996-01-28,Gabon,Tunisia,Tunisia,Tunisia"
"1996-06-22,England,Spain,England,England"
"1996-06-22,France,Netherlands,France,Netherlands"
"1996-06-26,France,Czech Republic,Czech Republic,France"
"1996-06-26,England,Germany,Germany,England"
"1996-12-19,Iran,Saudi Arabia,Saudi Arabia,Iran"
"1996-12-21,Iran,Kuwait,Iran,Kuwait"
"1996-12-21,United Arab Emirates,Saudi Arabia,Saudi Arabia,Saudi Arabia"
"1997-06-22,Ecuador,Mexico,Mexico,Ecuador"
"1998-02-21,Burkina Faso,Tunisia,Burkina Faso,Burkina Faso"
"1998-02-21,Ivory Coast,Egypt,Egypt,Ivory Coast"
"1998-02-27,Burkina Faso,DR Congo,DR Congo,DR Congo"
"1998-05-29,Belgium,England,Belgium,Belgium"
"1998-05-29,Morocco,France,Morocco,Morocco"
"1998-06-30,Argentina,England,Argentina,Argentina"
"1998-07-03,France,Italy,France,France"
"1998-07-07,Brazil,Netherlands,Brazil,Brazil"
"1999-07-10,Mexico,Peru,Mexico,Mexico"
"1999-07-10,Paraguay,Uruguay,Uruguay,Uruguay"
"1999-07-13,Uruguay,Chile,Uruguay,Uruguay"
"2000-02-12,South Africa,Tunisia,South Africa,South Africa"
"2000-02-13,Nigeria,Cameroon,Cameroon,Nigeria"
"2000-02-19,United States,Colombia,Colombia,United States"
"2000-06-04,France,Japan,France,France"
"2000-06-29,Netherlands,Italy,Italy,Italy"
"2001-07-29,Uruguay,Honduras,Honduras,Uruguay"
"2002-01-26,Canada,Martinique,Canada,Canada"
"2002-01-27,Mexico,South Korea,South Korea,South Korea"
"2002-01-30,United States,Canada,United States,United States"
"2002-02-10,Senegal,Cameroon,Cameroon,Cameroon"
"2002-06-16,Spain,Republic of Ireland,Spain,Republic of Ireland"
"2002-06-22,South Korea,Spain,South Korea,South Korea"
"2003-02-04,Uruguay,Iran,Uruguay,Iran"
"2004-02-11,Tunisia,Nigeria,Tunisia,Tunisia"
"2004-06-24,Portugal,England,Portugal,England"
"2004-06-26,Sweden,Netherlands,Netherlands,Sweden"
"2004-07-21,Uruguay,Brazil,Brazil,Brazil"
"2004-07-25,Argentina,Brazil,Brazil,Argentina"
"2004-07-30,Uzbekistan,Bahrain,Bahrain,Bahrain"
"2004-07-31,Japan,Jordan,Japan,Japan"
"2004-08-03,China PR,Iran,China PR,China PR"
"2005-06-26,Mexico,Argentina,Argentina,Mexico"
"2005-07-17,South Africa,Panama,Panama,Panama"
"2005-07-24,United States,Panama,United States,Panama"
"2005-11-16,Australia,Uruguay,Australia,Australia"
"2006-02-04,Nigeria,Tunisia,Nigeria,Nigeria"
"2006-02-04,Cameroon,Ivory Coast,Ivory Coast,Cameroon"
"2006-02-10,Egypt,Ivory Coast,Egypt,Egypt"
"2006-06-26,Switzerland,Ukraine,Ukraine,Ukraine"
"2006-06-30,Germany,Argentina,Germany,Germany"
"2006-07-01,England,Portugal,Portugal,Portugal"
"2006-07-09,Italy,France,Italy,Italy"
"2007-07-10,Uruguay,Brazil,Brazil,Brazil"
"2007-07-21,Japan,Australia,Japan,Australia"
"2007-07-22,Iran,South Korea,South Korea,South Korea"
"2007-07-25,Iraq,South Korea,Iraq,South Korea"
"2007-07-28,South Korea,Japan,South Korea,South Korea"
"2008-06-20,Croatia,Turkey,Turkey,Croatia"
"2008-06-22,Spain,Italy,Spain,Spain"
"2009-07-23,Costa Rica,Mexico,Mexico,Mexico"
"2010-01-25,Zambia,Nigeria,Nigeria,Zambia"
"2010-06-29,Paraguay,Japan,Paraguay,Paraguay"
"2010-07-02,Uruguay,Ghana,Uruguay,Uruguay"
"2011-01-25,Japan,South Korea,Japan,Japan"
"2011-06-08,Uruguay,Netherlands,Uruguay,Netherlands"
"2011-06-18,Costa Rica,Honduras,Honduras,Costa Rica"
"2011-06-19,Panama,El Salvador,Panama,Panama"
"2011-07-16,Argentina,Uruguay,Uruguay,Argentina"
"2011-07-17,Brazil,Paraguay,Paraguay,Brazil"
"2011-07-20,Paraguay,Venezuela,Paraguay,Paraguay"
"2012-02-05,Gabon,Mali,Mali,Gabon"
"2012-02-12,Zambia,Ivory Coast,Zambia,Ivory Coast"
"2012-06-03,Finland,Latvia,Latvia,Finland"
"2012-06-24,England,Italy,Italy,Italy"
"2012-06-27,Portugal,Spain,Spain,Spain"
"2012-11-21,Argentina,Brazil,Brazil,Argentina"
"2013-02-02,South Africa,Mali,Mali,South Africa"
"2013-02-06,Burkina Faso,Ghana,Burkina Faso,Ghana"
"2013-06-27,Spain,Italy,Spain,Italy"
"2013-06-30,Uruguay,Italy,Italy,Uruguay"
"2014-05-29,Latvia,Estonia,Latvia,Estonia"
"2014-06-28,Brazil,Chile,Brazil,Brazil"
"2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica"
"2014-07-05,Netherlands,Costa Rica,Netherlands,Costa Rica"
"2014-07-09,Netherlands,Argentina,Argentina,Netherlands"
"2015-01-23,Iran,Iraq,Iraq,Iran"
"2015-01-23,Japan,United Arab Emirates,United Arab Emirates,Japan"
"2015-02-07,Equatorial Guinea,DR Congo,DR Congo,Equatorial Guinea"
"2015-02-08,Ivory Coast,Ghana,Ivory Coast,Ghana"
"2015-06-26,Argentina,Colombia,Argentina,Colombia"
"2015-06-27,Brazil,Paraguay,Paraguay,Brazil"
"2015-07-04,Chile,Argentina,Chile,Chile"
"2015-07-19,Trinidad and Tobago,Panama,Panama,Panama"
"2015-07-25,United States,Panama,Panama,United States"
"2016-06-04,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan,United Koreans in Japan"
"2016-06-11,Papua New Guinea,New Zealand,New Zealand,New Zealand"
"2016-06-17,Peru,Colombia,Colombia,Colombia"
"2016-06-25,Switzerland,Poland,Poland,Switzerland"
"2016-06-26,Argentina,Chile,Chile,Chile"
"2016-06-30,Poland,Portugal,Portugal,Portugal"
"2016-07-02,Germany,Italy,Germany,Italy"
"2017-01-28,Senegal,Cameroon,Cameroon,Senegal"
"2017-02-01,Burkina Faso,Egypt,Egypt,Egypt"
"2017-06-28,Portugal,Chile,Chile,Chile"
"2018-07-01,Russia,Spain,Russia,Spain"
"2018-07-01,Croatia,Denmark,Croatia,Denmark"
"2018-07-03,Colombia,England,England,Colombia"
"2018-07-07,Russia,Croatia,Croatia,Russia"
"2019-01-20,Jordan,Vietnam,Vietnam,Vietnam"
"2019-01-21,Australia,Uzbekistan,Australia,Australia"
"2019-06-09,Switzerland,England,England,England"
"2019-06-27,Brazil,Paraguay,Brazil,Paraguay"
"2019-06-28,Colombia,Chile,Chile,Colombia"
"2019-06-29,Mexico,Costa Rica,Mexico,Mexico"
"2019-06-29,Uruguay,Peru,Peru,Uruguay"
"2019-07-05,Morocco,Benin,Benin,Benin"
"2019-07-07,Madagascar,DR Congo,Madagascar,Madagascar"
"2019-07-08,Ghana,Tunisia,Tunisia,Ghana"
"2019-07-11,Ivory Coast,Algeria,Algeria,Algeria"
"2019-09-08,Tanzania,Burundi,Tanzania,Tanzania"
"2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Bosnia and Herzegovina"
"2020-10-08,Slovakia,Republic of Ireland,Slovakia,Slovakia"
"2020-10-08,Scotland,Israel,Scotland,Scotland"
"2020-11-12,Serbia,Scotland,Scotland,Scotland"
"2021-06-03,Mexico,Costa Rica,Mexico,Mexico"
"2021-06-06,Honduras,Costa Rica,Honduras,Costa Rica"
"2021-06-28,France,Switzerland,Switzerland,Switzerland"
"2021-07-02,Peru,Paraguay,Peru,Paraguay"
"2021-07-02,Switzerland,Spain,Spain,Spain"
"2021-07-03,Uruguay,Colombia,Colombia,Colombia"
"2021-07-06,Italy,Spain,Italy,Italy"
"2021-07-06,Trinidad and Tobago,French Guiana,Trinidad and Tobago,French Guiana"
"2021-07-06,Argentina,Colombia,Argentina,Colombia"
"2021-07-06,Guatemala,Guadeloupe,Guadeloupe,Guatemala"
"2021-07-11,England,Italy,Italy,Italy"
"2021-07-16,Senegal,Eswatini,Senegal,Eswatini"
"2021-07-18,Eswatini,Mozambique,Eswatini,Mozambique"
"2021-07-18,South Africa,Senegal,South Africa,South Africa"
"2021-12-11,Morocco,Algeria,Algeria,Algeria"
"2021-12-18,Qatar,Egypt,Qatar,Qatar"
"2022-01-23,Burkina Faso,Gabon,Burkina Faso,Gabon"
"2022-01-26,Ivory Coast,Egypt,Egypt,Ivory Coast"
"2022-01-26,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea"
"2022-02-03,Cameroon,Egypt,Egypt,Cameroon"
"2022-02-05,Cameroon,Burkina Faso,Cameroon,Cameroon"
"2022-02-06,Senegal,Egypt,Senegal,Senegal"
"2022-03-29,Kazakhstan,Moldova,Kazakhstan,Moldova"
"2022-03-29,Senegal,Egypt,Senegal,Senegal"
"2022-06-13,Australia,Peru,Australia,Australia"
"2022-06-14,Chile,Ghana,Ghana,Chile"
"2022-11-16,Lithuania,Iceland,Iceland,Lithuania"
"2022-11-16,Latvia,Estonia,Latvia,Latvia"
"2022-11-19,Latvia,Iceland,Iceland,Iceland"
"2022-12-05,Japan,Croatia,Croatia,Japan"
"2022-12-06,Morocco,Spain,Morocco,Morocco"
"2022-12-09,Croatia,Brazil,Croatia,Croatia"
"2022-12-09,Netherlands,Argentina,Argentina,Netherlands"
"2022-12-18,Argentina,France,Argentina,France"
"2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis"
"2023-06-17,Guyana,Grenada,Guyana,Guyana"
"2023-06-17,Suriname,Puerto Rico,Puerto Rico,Suriname"
"2023-06-18,Croatia,Spain,Spain,Croatia"
"2023-06-20,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana"
"2023-07-01,India,Lebanon,India,India"
"2023-07-04,India,Kuwait,India,India"
"2023-07-09,United States,Canada,United States,Canada"
"2023-07-12,United States,Panama,Panama,United States"
"2023-07-13,Åland,Falkland Islands,Åland,Åland"
"2023-09-07,Iraq,India,Iraq,India"
"2023-09-10,Thailand,Iraq,Iraq,Thailand"
"2023-10-13,Iraq,Qatar,Qatar,Qatar"
"2023-11-21,Mexico,Honduras,Mexico,Mexico"
"2024-01-28,Egypt,DR Congo,DR Congo,Egypt"
"2024-01-28,Tajikistan,United Arab Emirates,Tajikistan,Tajikistan"
"2024-01-29,Ivory Coast,Senegal,Ivory Coast,Senegal"
"2024-01-30,Saudi Arabia,South Korea,South Korea,Saudi Arabia"
"2024-01-31,Iran,Syria,Iran,Iran"
"2024-02-03,Cape Verde,South Africa,South Africa,Cape Verde"
"2024-02-03,Qatar,Uzbekistan,Qatar,Uzbekistan"
"2024-02-07,Nigeria,South Africa,Nigeria,Nigeria"
"2024-03-23,Tunisia,Croatia,Croatia,Croatia"
"2024-03-26,New Zealand,Tunisia,Tunisia,New Zealand"
"2024-03-26,Wales,Poland,Poland,Poland"
"2024-03-26,Georgia,Greece,Georgia,Georgia"
"2024-03-26,Turks and Caicos Islands,Anguilla,Anguilla,Turks and Caicos Islands"
"2024-03-26,British Virgin Islands,United States Virgin Islands,British Virgin Islands,British Virgin Islands"
"2024-06-11,Lithuania,Estonia,Estonia,Lithuania"
"2024-07-01,Portugal,Slovenia,Portugal,Slovenia"
"2024-07-04,Argentina,Ecuador,Argentina,Argentina"
"2024-07-05,Portugal,France,France,France"
"2024-07-05,Venezuela,Canada,Canada,Venezuela"
"2024-07-06,England,Switzerland,England,England"
"2024-07-06,Uruguay,Brazil,Uruguay,Uruguay"
"2024-07-13,Canada,Uruguay,Uruguay,Canada"
